Time,HMR,Current,Voltage,Vibration,Temp,Failure
12:02:31 AM,20000,2493,595,3,38,N
12:02:32 AM,20000,2471,600,3,29,N
12:02:33 AM,20000,2484,601,2,49,N
12:02:34 AM,20000,2457,600,2,25,N
12:02:35 AM,20000,2463,602,3,36,N
12:02:36 AM,20000,2493,598,2,34,N
12:02:37 AM,20000,2484,600,2,31,N
12:02:38 AM,20000,2489,598,2,43,N
12:02:39 AM,20000,2473,598,4,26,N
12:02:40 AM,20000,2495,598,4,49,N
12:02:41 AM,20000,2489,603,5,29,N
12:02:42 AM,20000,2488,601,4,31,N
12:02:43 AM,20000,2500,600,3,30,N
12:02:44 AM,20000,2493,602,4,35,N
12:02:45 AM,20000,2500,600,3,44,N
12:02:46 AM,20000,2468,600,4,45,N
12:02:47 AM,20000,2495,596,2,34,N
12:02:48 AM,20000,2486,600,5,38,N
12:02:49 AM,20000,2496,599,2,39,N
12:02:50 AM,20000,2461,601,3,39,N
12:02:51 AM,20000,2472,597,4,36,N
12:02:52 AM,20000,2462,602,4,38,N
12:02:53 AM,20000,2478,602,2,41,N
12:02:54 AM,20000,2468,601,4,31,N
12:02:55 AM,20000,2499,598,5,45,N
12:02:56 AM,20000,2460,601,3,29,N
12:02:57 AM,20000,2472,603,2,30,N
12:02:58 AM,20000,2490,599,4,45,N
12:02:59 AM,20000,2475,600,4,29,N
12:03:00 AM,20000,2464,602,3,42,N
12:03:01 AM,20000,2481,596,4,34,N
12:03:02 AM,20000,2479,599,5,47,N
12:03:03 AM,20000,2461,601,2,29,N
12:03:04 AM,20000,2466,599,3,28,N
12:03:05 AM,20000,2490,600,5,47,N
12:03:06 AM,20000,2467,597,3,25,N
12:03:07 AM,20000,2458,598,4,30,N
12:03:08 AM,20000,2456,601,5,49,N
12:03:09 AM,20000,2455,597,4,47,N
12:03:10 AM,20000,2457,596,5,40,N
12:03:11 AM,20000,2461,596,2,30,N
12:03:12 AM,20000,2485,601,5,41,N
12:03:13 AM,20000,2491,597,3,26,N
12:03:14 AM,20000,2491,596,5,46,N
12:03:15 AM,20000,2471,603,4,42,N
12:03:16 AM,20000,2481,600,5,50,N
12:03:17 AM,20000,2458,600,5,26,N
12:03:18 AM,20000,2454,602,3,28,N
12:03:19 AM,20000,2458,598,5,37,N
12:03:20 AM,20000,2472,595,4,40,N
12:03:21 AM,20000,2465,595,3,43,N
12:03:22 AM,20000,2487,600,4,41,N
12:03:23 AM,20000,2467,598,4,44,N
12:03:24 AM,20000,2493,602,2,27,N
12:03:25 AM,20000,2498,603,4,48,N
12:03:26 AM,20000,2497,601,2,50,N
12:03:27 AM,20000,2459,602,2,46,N
12:03:28 AM,20000,2467,598,4,48,N
12:03:29 AM,20000,2495,598,5,28,N
12:03:30 AM,20000,2496,601,5,41,N
12:03:31 AM,20000,2488,601,5,28,N
12:03:32 AM,20000,2467,603,4,29,N
12:03:33 AM,20000,2488,595,2,38,N
12:03:34 AM,20000,2483,603,4,28,N
12:03:35 AM,20000,2479,600,3,28,N
12:03:36 AM,20000,2464,600,5,27,N
12:03:37 AM,20000,2494,595,2,28,N
12:03:38 AM,20000,2478,600,3,32,N
12:03:39 AM,20000,2499,595,2,28,N
12:03:40 AM,20000,2490,602,4,47,N
12:03:41 AM,20000,2474,597,4,39,N
12:03:42 AM,20000,2460,599,3,50,N
12:03:43 AM,20000,2467,599,4,45,N
12:03:44 AM,20000,2460,603,3,36,N
12:03:45 AM,20000,2472,602,2,37,N
12:03:46 AM,20000,2471,603,5,43,N
12:03:47 AM,20000,2477,598,5,37,N
12:03:48 AM,20000,2492,595,4,29,N
12:03:49 AM,20000,2487,603,4,44,N
12:03:50 AM,20000,2454,601,2,45,N
12:03:51 AM,20000,2497,599,5,30,N
12:03:52 AM,20000,2500,598,2,48,N
12:03:53 AM,20000,2497,595,2,43,N
12:03:54 AM,20000,2467,600,2,41,N
12:03:55 AM,20000,2455,603,3,46,N
12:03:56 AM,20000,2462,598,4,31,N
12:03:57 AM,20000,2468,595,2,39,N
12:03:58 AM,20000,2486,596,3,33,N
12:03:59 AM,20000,2488,599,4,43,N
12:04:00 AM,20000,2458,596,2,30,N
12:04:01 AM,20000,2458,603,2,32,N
12:04:02 AM,20000,2472,603,5,40,N
12:04:03 AM,20000,2494,595,3,25,N
12:04:04 AM,20000,2461,596,3,37,N
12:04:05 AM,20000,2458,597,4,36,N
12:04:06 AM,20000,2466,602,2,45,N
12:04:07 AM,20000,2487,598,3,26,N
12:04:08 AM,20000,2493,602,4,46,N
12:04:09 AM,20000,2452,600,5,33,N
12:04:10 AM,20000,2472,602,4,31,N
12:04:11 AM,20000,2450,601,2,25,N
12:04:12 AM,20000,2456,596,4,37,N
12:04:13 AM,20000,2498,599,2,37,N
12:04:14 AM,20000,2491,603,4,25,N
12:04:15 AM,20000,2462,601,3,30,N
12:04:16 AM,20000,2451,597,4,46,N
12:04:17 AM,20000,2480,598,5,41,N
12:04:18 AM,20000,2475,600,4,38,N
12:04:19 AM,20000,2465,600,4,27,N
12:04:20 AM,20000,2478,601,2,50,N
12:04:21 AM,20000,2493,602,4,37,N
12:04:22 AM,20000,2492,597,4,38,N
12:04:23 AM,20000,2500,597,3,40,N
12:04:24 AM,20000,2459,596,3,34,N
12:04:25 AM,20000,2498,595,4,35,N
12:04:26 AM,20000,2455,602,5,25,N
12:04:27 AM,20000,2481,601,5,44,N
12:04:28 AM,20000,2467,599,2,35,N
12:04:29 AM,20000,2457,598,5,46,N
12:04:30 AM,20000,2465,600,4,29,N
12:04:31 AM,20000,2475,597,3,34,N
12:04:32 AM,20000,2500,595,5,26,N
12:04:33 AM,20000,2464,601,2,46,N
12:04:34 AM,20000,2492,602,5,29,N
12:04:35 AM,20000,2469,601,3,50,N
12:04:36 AM,20000,2486,596,3,44,N
12:04:37 AM,20000,2496,599,5,28,N
12:04:38 AM,20000,2462,601,4,27,N
12:04:39 AM,20000,2457,602,4,33,N
12:04:40 AM,20000,2465,600,4,44,N
12:04:41 AM,20000,2482,596,4,33,N
12:04:42 AM,20000,2477,603,3,26,N
12:04:43 AM,20000,2472,597,4,50,N
12:04:44 AM,20000,2478,599,4,27,N
12:04:45 AM,20000,2489,601,5,33,N
12:04:46 AM,20000,2490,600,5,29,N
12:04:47 AM,20000,2494,602,5,43,N
12:04:48 AM,20000,2465,600,3,40,N
12:04:49 AM,20000,2479,602,2,47,N
12:04:50 AM,20000,2474,596,2,32,N
12:04:51 AM,20000,2474,598,3,41,N
12:04:52 AM,20000,2463,596,4,44,N
12:04:53 AM,20000,2491,602,2,45,N
12:04:54 AM,20000,2483,603,3,43,N
12:04:55 AM,20000,2457,598,3,28,N
12:04:56 AM,20000,2496,598,3,34,N
12:04:57 AM,20000,2460,595,4,29,N
12:04:58 AM,20000,2462,600,4,31,N
12:04:59 AM,20000,2473,597,3,35,N
12:05:00 AM,20000,2470,597,2,28,N
12:05:01 AM,20000,2469,601,3,39,N
12:05:02 AM,20000,2465,601,3,43,N
12:05:03 AM,20000,2451,603,3,30,N
12:05:04 AM,20000,2461,603,5,33,N
12:05:05 AM,20000,2451,599,2,25,N
12:05:06 AM,20000,2493,603,4,46,N
12:05:07 AM,20000,2455,596,4,45,N
12:05:08 AM,20000,2496,595,3,31,N
12:05:09 AM,20000,2491,596,3,43,N
12:05:10 AM,20000,2475,600,2,28,N
12:05:11 AM,20000,2464,595,2,37,N
12:05:12 AM,20000,2464,603,3,31,N
12:05:13 AM,20000,2495,595,2,39,N
12:05:14 AM,20000,2476,602,3,31,N
12:05:15 AM,20000,2494,600,3,27,N
12:05:16 AM,20000,2457,603,4,28,N
12:05:17 AM,20000,2482,600,3,25,N
12:05:18 AM,20000,2479,599,2,49,N
12:05:19 AM,20000,2452,601,2,29,N
12:05:20 AM,20000,2455,602,4,42,N
12:05:21 AM,20000,2479,598,4,44,N
12:05:22 AM,20000,2498,595,3,40,N
12:05:23 AM,20000,2491,598,3,32,N
12:05:24 AM,20000,2451,601,3,39,N
12:05:25 AM,20000,2467,599,2,34,N
12:05:26 AM,20000,2493,600,5,40,N
12:05:27 AM,20000,2486,597,3,40,N
12:05:28 AM,20000,2498,595,5,30,N
12:05:29 AM,20000,2492,595,4,39,N
12:05:30 AM,20000,2483,595,3,31,N
12:05:31 AM,20000,2452,603,5,42,N
12:05:32 AM,20000,2467,595,3,39,N
12:05:33 AM,20000,2472,595,5,44,N
12:05:34 AM,20000,2460,599,4,37,N
12:05:35 AM,20000,2500,598,2,39,N
12:05:36 AM,20000,2467,602,2,49,N
12:05:37 AM,20000,2474,598,4,30,N
12:05:38 AM,20000,2492,595,2,41,N
12:05:39 AM,20000,2461,603,5,29,N
12:05:40 AM,20000,2470,601,4,50,N
12:05:41 AM,20000,2478,596,3,28,N
12:05:42 AM,20000,2489,601,5,32,N
12:05:43 AM,20000,2451,601,3,44,N
12:05:44 AM,20000,2494,602,2,42,N
12:05:45 AM,20000,2472,602,3,50,N
12:05:46 AM,20000,2499,599,2,30,N
12:05:47 AM,20000,2480,599,4,50,N
12:05:48 AM,20000,2498,603,3,43,N
12:05:49 AM,20000,2450,598,4,39,N
12:05:50 AM,20000,2456,603,3,36,N
12:05:51 AM,20000,2471,597,2,39,N
12:05:52 AM,20000,2454,602,3,29,N
12:05:53 AM,20000,2476,599,4,31,N
12:05:54 AM,20000,2466,596,3,42,N
12:05:55 AM,20000,2460,597,5,39,N
12:05:56 AM,20000,2482,603,5,46,N
12:05:57 AM,20000,2486,601,3,28,N
12:05:58 AM,20000,2480,598,3,28,N
12:05:59 AM,20000,2470,596,4,31,N
12:06:00 AM,20000,2454,603,3,29,N
12:06:01 AM,20000,2497,602,4,48,N
12:06:02 AM,20000,2481,596,4,42,N
12:06:03 AM,20000,2482,603,5,30,N
12:06:04 AM,20000,2456,598,3,50,N
12:06:05 AM,20000,2460,596,5,34,N
12:06:06 AM,20000,2477,603,4,45,N
12:06:07 AM,20000,2469,603,2,34,N
12:06:08 AM,20000,2458,598,2,42,N
12:06:09 AM,20000,2487,603,3,33,N
12:06:10 AM,20000,2490,598,2,30,N
12:06:11 AM,20000,2472,596,3,26,N
12:06:12 AM,20000,2476,599,4,32,N
12:06:13 AM,20000,2468,597,3,46,N
12:06:14 AM,20000,2496,603,3,26,N
12:06:15 AM,20000,2481,598,3,46,N
12:06:16 AM,20000,2455,602,2,30,N
12:06:17 AM,20000,2485,596,4,49,N
12:06:18 AM,20000,2494,598,2,38,N
12:06:19 AM,20000,2498,601,4,28,N
12:06:20 AM,20000,2461,603,4,32,N
12:06:21 AM,20000,2458,595,5,38,N
12:06:22 AM,20000,2450,597,3,32,N
12:06:23 AM,20000,2466,596,3,45,N
12:06:24 AM,20000,2488,597,2,31,N
12:06:25 AM,20000,2453,602,3,45,N
12:06:26 AM,20000,2451,602,5,32,N
12:06:27 AM,20000,2494,602,5,34,N
12:06:28 AM,20000,2466,600,4,50,N
12:06:29 AM,20000,2495,597,5,50,N
12:06:30 AM,20000,2477,596,2,48,N
12:06:31 AM,20000,2474,595,5,39,N
12:06:32 AM,20000,2478,600,3,32,N
12:06:33 AM,20000,2453,599,4,44,N
12:06:34 AM,20000,2451,603,3,40,N
12:06:35 AM,20000,2494,599,5,46,N
12:06:36 AM,20000,2458,597,4,48,N
12:06:37 AM,20000,2484,601,5,36,N
12:06:38 AM,20000,2500,596,4,35,N
12:06:39 AM,20000,2499,599,2,46,N
12:06:40 AM,20000,2485,603,3,35,N
12:06:41 AM,20000,2474,600,3,40,N
12:06:42 AM,20000,2450,600,3,42,N
12:06:43 AM,20000,2479,600,4,43,N
12:06:44 AM,20000,2488,603,3,35,N
12:06:45 AM,20000,2456,595,2,35,N
12:06:46 AM,20000,2471,602,4,29,N
12:06:47 AM,20000,2497,600,4,40,N
12:06:48 AM,20000,2463,597,4,42,N
12:06:49 AM,20000,2492,598,2,44,N
12:06:50 AM,20000,2498,599,4,26,N
12:06:51 AM,20000,2496,603,3,26,N
12:06:52 AM,20000,2475,601,4,32,N
12:06:53 AM,20000,2459,600,3,50,N
12:06:54 AM,20000,2485,603,4,43,N
12:06:55 AM,20000,2492,598,2,31,N
12:06:56 AM,20000,2453,600,4,40,N
12:06:57 AM,20000,2463,596,3,31,N
12:06:58 AM,20000,2484,597,2,26,N
12:06:59 AM,20000,2476,599,2,37,N
12:07:00 AM,20000,2461,601,5,28,N
12:07:01 AM,20000,2492,595,4,42,N
12:07:02 AM,20000,2475,595,2,32,N
12:07:03 AM,20000,2472,602,4,42,N
12:07:04 AM,20000,2499,601,3,49,N
12:07:05 AM,20000,2469,600,4,31,N
12:07:06 AM,20000,2485,600,5,32,N
12:07:07 AM,20000,2475,600,3,29,N
12:07:08 AM,20000,2464,599,5,41,N
12:07:09 AM,20000,2498,600,5,34,N
12:07:10 AM,20000,2489,596,3,46,N
12:07:11 AM,20000,2454,601,5,29,N
12:07:12 AM,20000,2455,602,3,32,N
12:07:13 AM,20000,2483,597,3,48,N
12:07:14 AM,20000,2460,595,4,31,N
12:07:15 AM,20000,2467,597,2,27,N
12:07:16 AM,20000,2464,598,5,38,N
12:07:17 AM,20000,2477,599,5,38,N
12:07:18 AM,20000,2459,602,4,35,N
12:07:19 AM,20000,2471,598,3,27,N
12:07:20 AM,20000,2454,602,5,45,N
12:07:21 AM,20000,2483,597,2,45,N
12:07:22 AM,20000,2497,595,4,50,N
12:07:23 AM,20000,2488,595,2,31,N
12:07:24 AM,20000,2500,596,3,50,N
12:07:25 AM,20000,2494,601,4,34,N
12:07:26 AM,20000,2494,602,3,48,N
12:07:27 AM,20000,2465,601,2,30,N
12:07:28 AM,20000,2493,598,5,50,N
12:07:29 AM,20000,2500,600,3,37,N
12:07:30 AM,20000,2465,598,2,40,N
12:07:31 AM,20000,2489,597,5,29,N
12:07:32 AM,20000,2472,597,2,47,N
12:07:33 AM,20000,2466,595,5,35,N
12:07:34 AM,20000,2457,599,4,33,N
12:07:35 AM,20000,2465,595,2,41,N
12:07:36 AM,20000,2475,602,3,36,N
12:07:37 AM,20000,2459,595,4,34,N
12:07:38 AM,20000,2463,602,4,44,N
12:07:39 AM,20000,2492,595,4,27,N
12:07:40 AM,20000,2463,602,5,44,N
12:07:41 AM,20000,2457,603,2,30,N
12:07:42 AM,20000,2493,595,4,35,N
12:07:43 AM,20000,2483,598,2,31,N
12:07:44 AM,20000,2484,595,5,40,N
12:07:45 AM,20000,2450,603,4,39,N
12:07:46 AM,20000,2497,595,5,26,N
12:07:47 AM,20000,2495,596,3,31,N
12:07:48 AM,20000,2452,596,2,45,N
12:07:49 AM,20000,2476,599,5,40,N
12:07:50 AM,20000,2464,599,5,36,N
12:07:51 AM,20000,2497,598,2,36,N
12:07:52 AM,20000,2497,603,3,42,N
12:07:53 AM,20000,2491,597,4,43,N
12:07:54 AM,20000,2485,601,4,44,N
12:07:55 AM,20000,2473,600,2,28,N
12:07:56 AM,20000,2455,599,2,47,N
12:07:57 AM,20000,2450,595,3,26,N
12:07:58 AM,20000,2470,599,4,34,N
12:07:59 AM,20000,2487,601,3,27,N
12:08:00 AM,20000,2483,598,4,40,N
12:08:01 AM,20000,2493,595,4,30,N
12:08:02 AM,20000,2487,602,2,30,N
12:08:03 AM,20000,2498,599,5,46,N
12:08:04 AM,20000,2461,596,5,48,N
12:08:05 AM,20000,2470,598,5,29,N
12:08:06 AM,20000,2480,603,2,42,N
12:08:07 AM,20000,2471,603,2,34,N
12:08:08 AM,20000,2468,601,5,46,N
12:08:09 AM,20000,2475,600,4,45,N
12:08:10 AM,20000,2451,595,5,48,N
12:08:11 AM,20000,2488,595,3,33,N
12:08:12 AM,20000,2491,596,3,46,N
12:08:13 AM,20000,2485,599,5,37,N
12:08:14 AM,20000,2496,595,3,28,N
12:08:15 AM,20000,2477,596,2,49,N
12:08:16 AM,20000,2472,596,5,45,N
12:08:17 AM,20000,2462,599,5,30,N
12:08:18 AM,20000,2469,596,4,32,N
12:08:19 AM,20000,2452,600,2,45,N
12:08:20 AM,20000,2461,603,3,38,N
12:08:21 AM,20000,2498,603,2,25,N
12:08:22 AM,20000,2469,603,4,49,N
12:08:23 AM,20000,2462,601,3,42,N
12:08:24 AM,20000,2470,598,3,44,N
12:08:25 AM,20000,2465,597,5,34,N
12:08:26 AM,20000,2483,602,3,50,N
12:08:27 AM,20000,2464,603,3,50,N
12:08:28 AM,20000,2454,601,5,34,N
12:08:29 AM,20000,2491,602,5,31,N
12:08:30 AM,20000,2488,600,5,50,N
12:08:31 AM,20000,2450,602,4,45,N
12:08:32 AM,20000,2451,601,2,43,N
12:08:33 AM,20000,2479,600,4,48,N
12:08:34 AM,20000,2473,603,4,45,N
12:08:35 AM,20000,2479,600,4,47,N
12:08:36 AM,20000,2478,598,4,48,N
12:08:37 AM,20000,2494,595,5,42,N
12:08:38 AM,20000,2462,602,5,32,N
12:08:39 AM,20000,2472,601,3,31,N
12:08:40 AM,20000,2458,598,3,38,N
12:08:41 AM,20000,2464,600,5.5,42,N
12:08:42 AM,20000,2450,600,5.7,38,N
12:08:43 AM,20000,2494,603,5.8,34,N
12:08:44 AM,20000,2470,596,6,32,Y
12:08:45 AM,20000,2494,598,6.2,41,Y
12:08:46 AM,20000,2483,597,6.5,29,Y
12:08:47 AM,20000,2495,603,6.5,42,Y
12:08:48 AM,20000,2481,601,6.5,49,Y
12:08:49 AM,20000,2498,602,6.5,42,Y
12:08:50 AM,20000,2456,598,6.5,43,Y
12:08:51 AM,20000,2465,595,6.5,27,Y
12:08:52 AM,20000,2488,598,6.5,43,Y
12:08:53 AM,20000,2469,600,6.5,38,Y
12:08:54 AM,20000,2487,601,6.5,36,Y
12:08:55 AM,20000,2455,601,6.5,45,Y
12:08:56 AM,20000,2468,596,6.5,35,Y
12:08:57 AM,20000,2470,596,6.5,30,Y
12:08:58 AM,20000,2495,595,6.5,37,Y
12:08:59 AM,20000,2454,602,6.5,48,Y
12:09:00 AM,20000,2499,600,6.5,38,Y
12:09:01 AM,20000,2463,595,6.5,26,Y
12:09:02 AM,20000,2471,596,6.5,47,Y
12:09:03 AM,20000,2481,601,6.5,49,Y
12:09:04 AM,20000,2470,595,6.5,27,Y
12:09:05 AM,20000,2459,601,6.5,31,Y
12:09:06 AM,20000,2450,596,6.5,38,Y
12:09:07 AM,20000,2495,597,6.5,46,Y
12:09:08 AM,20000,2469,599,6.5,39,Y
12:09:09 AM,20000,2456,603,6.5,29,Y
12:09:10 AM,20000,2458,598,6.5,40,Y
12:09:11 AM,20000,2484,595,6.5,43,Y
12:09:12 AM,20000,2455,596,6.5,45,Y
12:09:13 AM,20000,2452,595,6.5,39,Y
12:09:14 AM,20000,2494,596,6.5,34,Y
12:09:15 AM,20000,2488,598,6.5,47,Y
12:09:16 AM,20000,2458,598,6.5,48,Y
12:09:17 AM,20000,2499,597,6.5,46,Y
12:09:18 AM,20000,2455,595,6.5,25,Y
12:09:19 AM,20000,2461,602,6.5,48,Y
12:09:20 AM,20000,2495,598,6.5,42,Y
12:09:21 AM,20000,2450,595,6.5,29,Y
12:09:22 AM,20000,2491,597,6.5,38,Y
12:09:23 AM,20000,2458,598,6.5,40,Y
12:09:24 AM,20000,2460,602,6.5,29,Y
12:09:25 AM,20000,2493,598,6.5,41,Y
12:09:26 AM,20000,2453,600,6.5,44,Y
12:09:27 AM,20000,2466,601,6.5,28,Y
12:09:28 AM,20000,2499,600,6.5,34,Y
12:09:29 AM,20000,2461,603,6.5,48,Y
12:09:30 AM,20000,2468,600,6.5,34,Y
12:09:31 AM,20000,2451,603,6.5,27,Y
12:09:32 AM,20000,2498,599,6.5,33,Y
12:09:33 AM,20000,2463,602,6.5,43,Y
12:09:34 AM,20000,2456,600,6.5,44,Y
12:09:35 AM,20000,2489,603,6.5,44,Y
12:09:36 AM,20000,2496,600,6.5,34,Y
12:09:37 AM,20000,2486,597,6.5,39,Y
12:09:38 AM,20000,2463,601,6.5,46,Y
12:09:39 AM,20000,2475,597,6.5,42,Y
12:09:40 AM,20000,2489,597,6.5,30,Y
12:09:41 AM,20000,2486,597,6.5,38,Y
12:09:42 AM,20000,2476,603,6.5,37,Y
12:09:43 AM,20000,2488,597,6.5,41,Y
12:09:44 AM,20000,2474,597,6.5,33,Y
12:09:45 AM,20000,2479,596,6.5,47,Y
12:09:46 AM,20000,2490,603,6.5,27,Y
12:09:47 AM,20000,2477,596,6.5,46,Y
12:09:48 AM,20000,2489,600,6.5,29,Y
12:09:49 AM,20000,2499,599,6.5,45,Y
12:09:50 AM,20000,2452,595,6.5,42,Y
12:09:51 AM,20000,2452,600,6.5,43,Y
12:09:52 AM,20000,2475,602,6.5,26,Y
12:09:53 AM,20000,2459,599,6.5,26,Y
12:09:54 AM,20000,2467,595,6.5,32,Y
12:09:55 AM,20000,2495,596,6.5,36,Y
